dataset,dim,random_state,method,metric1,metric2,bcmo_metric1,bcmo_metric2,metric1_difference,metric2_difference
exp5,4,14,ERM,94.35508439532464,206.69780042808873,94.34395058083958,159.6204209924365,0.011133814485063454,47.07737943565223
exp5,4,14,ERM-NN,94.85849766031062,209.5383429622728,94.34395058083958,159.6204209924365,0.5145470794710434,49.9179219698363
exp5,4,14,LightGBM,95.28754106282952,213.51647524340345,94.34395058083958,159.6204209924365,0.9435904819899434,53.896054250966955
exp5,4,14,M=128,94.92406463623047,164.6861724853516,94.34395058083958,159.6204209924365,0.5801140553908937,5.065751492915098
exp5,4,14,M=2048,94.89317321777344,165.8523712158203,94.34395058083958,159.6204209924365,0.5492226369338624,6.231950223383819
exp5,4,14,M=32,95.43395233154297,166.5228271484375,94.34395058083958,159.6204209924365,1.0900017507033937,6.902406156001007
exp5,4,14,M=512,95.1313247680664,164.2169647216797,94.34395058083958,159.6204209924365,0.7873741872268312,4.596543729243194
exp5,4,14,M=8,95.07926177978516,163.2801208496094,94.34395058083958,159.6204209924365,0.7353111989455812,3.6596998571729102
exp5,4,14,R=1,95.09040832519531,166.2537536621094,94.34395058083958,159.6204209924365,0.7464577443557374,6.63333266967291
exp5,4,14,R=16,94.92406463623047,164.6861724853516,94.34395058083958,159.6204209924365,0.5801140553908937,5.065751492915098
exp5,4,14,R=256,94.91445922851562,165.5481414794922,94.34395058083958,159.6204209924365,0.5705086476760499,5.927720487055694
exp5,4,14,R=4,95.2790756225586,166.2401885986328,94.34395058083958,159.6204209924365,0.9351250417190187,6.619767606196319
exp5,4,14,R=64,94.94956970214844,165.281494140625,94.34395058083958,159.6204209924365,0.6056191213088624,5.661073148188507
exp5,4,14,Spline-ETO,94.94635772705078,161.6231384277344,94.34395058083958,159.6204209924365,0.6024071462112062,2.0027174352979102
exp5,4,14,Spline-QFR,110.7609786987305,168.3733520507812,94.34395058083958,159.6204209924365,16.417028117890922,8.7529310583447
exp5,4,14,lambda=0.1,95.33699035644531,192.3425598144531,94.34395058083958,159.6204209924365,0.9930397756057374,32.7221388220166
exp5,4,14,lambda=0.3,95.16776275634766,171.2069091796875,94.34395058083958,159.6204209924365,0.8238121755080812,11.586488187251007
exp5,4,14,lambda=0.5,94.92406463623047,164.6861724853516,94.34395058083958,159.6204209924365,0.5801140553908937,5.065751492915098
exp5,4,14,lambda=0.7,94.95124053955078,162.9326324462891,94.34395058083958,159.6204209924365,0.6072899587112062,3.3122114538525977
exp5,4,14,lambda=0.9,94.77184295654297,161.6960754394531,94.34395058083958,159.6204209924365,0.42789237570339367,2.0756544470166034
exp5,4,15,ERM,265.67718124431855,263.67928510203217,265.3937075570243,150.47346593177562,0.28347368729424716,113.20581917025655
exp5,4,15,ERM-NN,265.66993777989103,263.5818219265452,265.3937075570243,150.47346593177562,0.2762302228667295,113.1083559947696
exp5,4,15,LightGBM,266.219636018485,261.668605360791,265.3937075570243,150.47346593177562,0.8259284614607054,111.19513942901537
exp5,4,15,M=128,267.0153198242188,151.7052612304688,265.3937075570243,150.47346593177562,1.6216122671945072,1.2317952986931857
exp5,4,15,M=2048,267.2543029785156,152.2427978515625,265.3937075570243,150.47346593177562,1.8605954214913254,1.7693319197868789
