Dim,R=1,R=4,R=16,R=64,R=256,M=8,M=32,M=128,M=512,M=2048,lambda=0.1,lambda=0.3,lambda=0.5,lambda=0.7,lambda=0.9,Spline-ETO,Spline-QFR,ERM,LightGBM,ERM-NN
4,2.893865916077337,2.8351851909796664,2.705208536926958,2.680915018860534,2.9091094463507745,5.094617411438665,3.3037833660284974,2.705208536926958,2.618778940979664,2.72267450982732,16.458872172180843,6.308061930481619,2.705208536926958,1.9573668926398313,1.6911971538703028,1.6623618572394463,13.520781657044125,109.85944949796503,110.52760410418371,110.30632372913367
9,5.089414119225339,4.925699901085696,5.095695018273192,5.510729121666744,4.633460521202881,8.242545222740949,5.1608618731315925,5.095695018273192,5.074973201256606,5.518512629967535,31.040624522667724,11.322899531822994,5.095695018273192,3.6182162279899956,3.40112104366382,3.380672358971437,19.79505491207202,115.83017413856085,119.54255186040022,118.08094928773365
14,6.206961918454363,6.3010796552707635,6.1032586103488935,5.943933964352789,6.047574711423127,13.49847497997779,8.481575871091087,6.1032586103488935,5.692905521969979,6.043700504880158,24.120456791501233,8.890586186032484,6.1032586103488935,5.361708927731698,5.657569218259039,4.937561894040295,17.88478632030982,147.35324454994958,147.02561918709478,149.67072821694455
19,11.669748317561735,10.889967738948453,11.082844936214082,10.495436488948462,11.783224880061743,19.609039699397673,11.736404811702377,11.082844936214082,10.923880397639874,10.767654811702377,42.49662362273754,21.788327419124247,11.082844936214082,7.845648586116428,7.164842616878152,6.666740810237533,28.82127114471018,224.37266583998266,214.68129030772644,224.82727313129598
24,9.394953130448767,9.023570989335493,10.263417028153835,10.407717107499547,10.490666173661662,9.7549949395308,9.632539342606977,10.263417028153835,8.276746343339386,8.481852697099168,25.923941777909704,13.942508672440955,10.263417028153835,6.602524541581585,5.774824498856961,5.970736669267119,31.763219426835484,136.14053880677608,135.60494754246287,127.25753441216712
