Dim,R=1,R=4,R=16,R=64,R=256,M=8,M=32,M=128,M=512,M=2048,lambda=0.1,lambda=0.3,lambda=0.5,lambda=0.7,lambda=0.9,Spline-ETO,Spline-QFR,ERM,LightGBM,ERM-NN
4,0.8726590416673318,0.8946469567064114,0.813803603434932,0.8625432274583588,0.8276253960374603,0.7156659386400165,0.8604100487474298,0.813803603434932,0.8359700463060115,0.8249104759935377,0.831192900920275,0.8488446495775108,0.813803603434932,0.8943158409837494,1.0411099694017238,1.12078602530991,11.883024337077511,0.07243901018360006,0.8671067191083154,0.9730233659786421
9,2.1322136853504348,2.0307007764148963,2.115816590623882,2.0835816357898933,2.034612366991058,2.5238244031238835,2.1807396863269957,2.115816590623882,2.2558190320301392,2.1837632153797357,1.9758400891590426,2.1411255811024006,2.115816590623882,1.84623040898326,2.125951478319183,2.19138040287974,21.44802179081919,0.10977732008427524,0.9223883571942381,1.262785313814571
14,2.1425163735293475,2.197456787958046,2.2063820351504275,2.1529896248720997,2.1544960488223013,2.4129906166934014,2.277010392084025,2.2063820351504275,2.2252892006777834,2.4369488228701535,2.6042789925478993,2.2687508095644917,2.2063820351504275,2.2862785805605887,2.7151718605898774,4.270629547967828,20.81586575402245,0.10030325043189592,2.3742434348979358,1.947896867020986
19,3.712491171067319,3.7572909757548203,3.5953967496806056,3.6116664335184865,3.7202586576395715,3.5946788236552036,3.4949038907938688,3.5953967496806056,3.467881338303653,3.6794200345927193,3.8585208341532735,3.4866809293681,3.5953967496806056,3.9228885099344994,4.271997396653257,9.473841421311462,39.124049703782156,0.11031022839318752,2.6736892036458513,3.294819627101236
24,3.4409904689425774,3.636787435495367,3.4687370509739224,3.4231224269504423,3.525193044626171,3.3939338893528115,3.3473198146457532,3.4687370509739224,3.9966476649875475,3.9741897792454295,4.014096853220019,3.8160469264621555,3.4687370509739224,3.484306356393746,3.303295919382087,4.666345235788386,31.009074422800076,0.40604513966948447,2.314858321367865,3.041257402617029
