Dim,R=1,R=4,R=16,R=64,R=256,M=8,M=32,M=128,M=512,M=2048,lambda=0.1,lambda=0.3,lambda=0.5,lambda=0.7,lambda=0.9,Spline-ETO,Spline-QFR,ERM,LightGBM,ERM-NN
4,37.04234741564876,38.11202820178158,37.37149475451595,37.88007324572689,37.92007263537533,32.73241089221126,34.3883038365472,37.37149475451595,38.13914306994564,38.112281497680016,30.622007449828452,33.24385193225033,37.37149475451595,46.0960919224847,68.22264526721126,108.71157654162532,98.66866577502375,0.9591183840778456,36.17360583671149,6.028238331376636
9,31.425890299743372,31.28824381536837,31.110353800719935,31.359001872008996,30.869350382751186,29.1726493329465,30.878404948180872,31.110353800719935,32.45522074407931,32.29477152532931,25.60897135443087,27.32076029486056,31.110353800719935,38.139006754821494,59.41155924505588,89.65853800482151,116.28778910345432,3.2932532949161866,35.055756636766304,6.518947937179766
14,37.431930989565394,38.48714644366696,37.90578658038571,38.11495100909664,37.933823079409144,41.17944380694821,39.682016438784146,37.90578658038571,40.06909224444821,40.10915266925289,32.752145833315396,34.32893416339352,37.90578658038571,49.196823567690394,74.94387556964352,111.38583113604977,108.01534163409664,6.86985736945752,44.00195068301246,6.112244271995081
19,27.969798993225687,27.900536297913185,27.82306437408506,27.997643231506935,28.013448285217873,27.63184122955381,28.715627240295998,27.82306437408506,28.164968060608498,29.667836712952248,24.878371380921,26.1216086856085,27.82306437408506,34.2696555606085,58.82192912017881,100.32389750396787,271.3405051699835,5.472951823568519,40.95455848034841,5.187802563066441
24,42.752775582298156,42.517747506126284,42.63080292604816,42.61564484499347,42.9166519250716,39.46028290651691,40.70144806764972,42.63080292604816,42.650743111595034,42.642170723899724,36.80124359987629,39.32809906862629,42.63080292604816,50.18388214968097,68.36166535280597,121.45136872194658,128.98646088503253,9.838137649036948,53.19394106085316,8.604183735194207
