Dim,R=1,R=4,R=16,R=64,R=256,M=8,M=32,M=128,M=512,M=2048,lambda=0.1,lambda=0.3,lambda=0.5,lambda=0.7,lambda=0.9,Spline-ETO,Spline-QFR,ERM,LightGBM,ERM-NN
4,12.312335020471224,12.5111082138306,12.640286070275915,12.847753721643098,12.779704100061071,207.4103666366822,55.039703184533735,12.640286070275915,12.382353025842317,12.401637083459505,97.25001354830326,24.143855101037627,12.640286070275915,9.636089903283722,7.983152586389193,7.575317198205599,17.173676878381382,1124.1660684351561,870.5488832591691,1119.8365821725242
9,16.206171102495897,18.919836873980277,18.42472121235918,17.487442464800587,18.662251729937303,99.1654774379451,29.631592245074017,18.42472121235918,14.497954244585747,17.266209859820115,236.10670363423418,50.31048171040605,18.42472121235918,12.403271932574023,10.559018392534961,10.296745748491992,17.124625081988086,1114.4716569873947,847.6225319812962,1108.8447519912283
14,15.743570906476762,16.78975010569551,19.164988142804887,16.53428288157442,16.130022627668172,71.08750553782443,30.687464339093946,19.164988142804887,22.121193892316604,56.02299442942598,191.77033482249237,90.74305363352754,19.164988142804887,12.139631087140824,10.742136580304887,9.941610152082228,17.596100813703323,1104.4341855146772,872.4636366798737,1125.4054420962163
19,18.688850069230572,16.084260225480573,16.352497530168073,16.782531404679794,17.30109677333214,81.44079251307822,39.847062349504014,16.352497530168073,14.931429720109481,14.856722688859483,312.7718212606368,39.78118405360557,16.352497530168073,13.239773225968857,10.92701840419151,10.682249117082137,20.069599580949323,1093.2170423237762,846.7972203364822,1125.7169732981542
24,14.60971148440519,14.702207211944252,14.322472409698156,14.439524106475503,14.879372434112222,88.91623766848721,47.12830431887785,14.322472409698156,13.867017392608314,13.774002866241124,62.92902758547941,24.87678606936613,14.322472409698156,12.871822385284096,11.678878049346602,11.021294431182534,17.903234128448158,1087.1102348117279,843.3033746501644,1114.8671092244908
