dataset,simulation_num,ipa_gradient_variance_trace_mean,ipa_gradient_variance_trace_std,ipa_gradient_variance_trace_count,variance_relative_to_R1,variance_reduction_vs_R1_pct,R_times_variance,metric1_mean,metric2_mean
exp5,1,97.77775245904922,250.91567798270572,50,1.0,0.0,97.77775245904922,303.26991233825686,309.26258308410644
exp5,4,28.612992262244223,68.82404106936774,50,0.29263295118414356,70.73670488158564,114.45196904897689,303.3131147766113,309.00669509887695
exp5,16,6.406788669973611,16.19994629489055,50,0.06552399200070455,93.44760079992955,102.50861871957778,303.24976539611816,309.26167922973633
exp5,64,1.3347343437187373,3.238999858745746,50,0.013650695686401095,98.63493043135989,85.42299799799919,303.2365188598633,309.21934074401855
exp5,256,0.4141887777892406,1.111570245489255,50,0.004236022687908571,99.57639773120914,106.0323271140456,303.2621752929688,309.384401550293
van_havre,1,28.810696558989584,100.84039284018989,50,1.0,0.0,28.810696558989584,292.12171447753906,170.52310272216798
van_havre,4,49.93642453741748,293.485098464748,50,1.7332598826679946,-73.32598826679946,199.74569814966992,292.45830627441404,170.81240753173827
van_havre,16,6.388617105449084,26.241367494966944,50,0.22174462503426326,77.82553749657367,102.21787368718535,292.16546630859375,171.1919680786133
van_havre,64,3.646544886706979,13.443318167915805,50,0.12656913307322226,87.34308669267777,233.37887274924665,292.39062866210935,170.6292819213867
van_havre,256,0.7813885102854692,2.4539465275610994,50,0.027121472356129425,97.28785276438707,200.0354586330801,292.3278350830078,170.9614645385742
