dataset,simulation_num,metric1_mean,metric1_std,metric1_count,metric2_mean,metric2_std,metric2_count,ipa_gradient_variance_trace_mean,ipa_gradient_variance_trace_std,ipa_gradient_variance_trace_count,weighted_ipa_gradient_variance_trace_mean,weighted_ipa_gradient_variance_trace_std,weighted_ipa_gradient_variance_trace_count
exp5,1,303.26991233825686,245.11271548143418,50,309.26258308410644,156.85427759892596,50,97.77775245904922,250.91567798270572,50,24.444438114762306,62.72891949567643,50
exp5,4,303.3131147766113,245.20704197953012,50,309.00669509887695,156.26883568240075,50,28.612992262244223,68.82404106936774,50,7.153248065561056,17.206010267341938,50
exp5,16,303.24976539611816,245.14737482506777,50,309.26167922973633,156.99948440456933,50,6.406788669973611,16.19994629489055,50,1.6016971674934029,4.049986573722638,50
exp5,64,303.2365188598633,245.16211219785282,50,309.21934074401855,156.91221898720013,50,1.3347343437187373,3.238999858745746,50,0.33368358592968433,0.8097499646864367,50
exp5,256,303.2621752929688,245.1780322178239,50,309.384401550293,157.16499315722467,50,0.4141887777892406,1.111570245489255,50,0.10354719444731014,0.27789256137231383,50
van_havre,1,292.12171447753906,15.282371602149356,50,170.52310272216798,13.439656490479939,50,28.810696558989584,100.84039284018989,50,7.202674139747396,25.210098210047473,50
van_havre,4,292.45830627441404,15.959027816785833,50,170.81240753173827,12.445070956478865,50,49.93642453741748,293.485098464748,50,12.48410613435437,73.371274616187,50
van_havre,16,292.16546630859375,15.615235353788405,50,171.1919680786133,13.102932565100708,50,6.388617105449084,26.241367494966944,50,1.597154276362271,6.560341873741736,50
van_havre,64,292.39062866210935,15.748843268842313,50,170.6292819213867,12.10934532145445,50,3.646544886706979,13.443318167915805,50,0.9116362216767447,3.3608295419789513,50
van_havre,256,292.3278350830078,15.79452989446576,50,170.9614645385742,12.389997547413932,50,0.7813885102854692,2.4539465275610994,50,0.19534712757136727,0.6134866318902749,50
