dim,random_state,metric1,metric2,method
4,95,261.80663588230686,179.5969757675092,BCMO
4,36,261.05032019826814,1181.696527031485,ERM-NN
4,36,256.53139648521795,1202.724848876973,ERM
4,36,301.9655918595056,902.8578563747116,LightGBM
4,36,256.9137847456412,141.11713276875398,BCMO
4,32,262.05436881317286,1161.2331720329005,ERM-NN
4,32,253.79134210561125,1198.6359308876472,ERM
4,32,272.75306461547837,963.3362679332268,LightGBM
4,32,253.3485810602789,153.00314934956037,BCMO
4,29,265.1848168889787,1307.1844806271538,ERM-NN
4,29,262.2395507235858,1283.9809058684466,ERM
4,29,310.5269913043558,1088.643181954831,LightGBM
4,29,261.13228059102516,148.47050040557917,BCMO
4,18,257.67728283686534,1248.2937100522436,ERM-NN
4,18,251.77611204287717,1249.5903019779494,ERM
4,18,289.358454492997,996.3654491509268,LightGBM
4,18,251.63559080245992,145.52633748336007,BCMO
4,14,261.6930606653596,1279.9233991858612,ERM-NN
4,14,257.8683716475159,1302.4615102542805,ERM
4,14,282.5434753686701,1050.4890216109395,LightGBM
4,14,256.81257033395644,156.8596503266693,BCMO
4,87,256.7707569212664,1266.2691310084604,ERM-NN
4,87,257.91911683111215,1276.4365991661562,ERM
4,87,274.8779219646262,1052.6694914009724,LightGBM
4,87,255.6375488501887,155.49458783786284,BCMO
9,82,264.411012855859,1140.5816374069666,ERM-NN
9,82,260.55219767766124,1144.1510010130062,ERM
9,82,288.560074209741,949.597759433787,LightGBM
9,82,259.0315932313426,176.12975495773654,BCMO
9,15,255.05922310770436,1514.5295617056358,ERM-NN
9,15,254.15929754026948,1523.7501522141574,ERM
9,15,258.5150581405278,1219.8405896777194,LightGBM
9,15,255.1478031039423,149.8213731193931,BCMO
9,4,268.77924256747247,1333.8723475948,ERM-NN
9,4,267.67576817395025,1344.607531304718,ERM
9,4,333.05126407451326,921.2631397094794,LightGBM
9,4,257.4938364172987,141.4799559788517,BCMO
9,95,257.3591330119735,1204.5861699331842,ERM-NN
9,95,258.743930521559,1208.4922493435745,ERM
9,95,283.17285675982777,978.9392387861036,LightGBM
9,95,254.59396463667443,174.8534814076531,BCMO
9,36,273.4003485444364,1191.8959510188745,ERM-NN
9,36,263.98548192248404,1208.4859555718087,ERM
9,36,293.6349524841074,897.1333918471888,LightGBM
9,36,259.3380328735099,142.2786193671164,BCMO
9,32,259.5621318015195,1218.3602724071095,ERM-NN
9,32,252.91545044970184,1203.8713767199313,ERM
9,32,274.647808008899,970.7612149444562,LightGBM
9,32,252.64578992453644,150.4385588803735,BCMO
9,29,270.2651191028968,1238.398993191723,ERM-NN
9,29,263.4984618716611,1255.818192844684,ERM
9,29,300.18329663422935,1012.5439173640584,LightGBM
9,29,260.21123625802267,146.99315783984727,BCMO
9,18,262.98409747253845,1254.550122946388,ERM-NN
9,18,263.45411381912055,1242.1447104380152,ERM
9,18,297.09912845621255,1031.9015726785003,LightGBM
9,18,259.52996425941916,144.4326142853257,BCMO
9,14,265.49488747112497,1246.966038544036,ERM-NN
9,14,262.61811017463776,1259.377316048883,ERM
9,14,304.22614059686896,987.0158451992546,LightGBM
9,14,257.9956088185214,160.78456233673492,BCMO
9,87,260.86077228454167,1287.9753568388028,ERM-NN
9,87,258.316209646386,1297.2870160504042,ERM
9,87,290.45347585100535,1050.4975818476498,LightGBM
9,87,256.99865932500177,156.0568535022041,BCMO
14,82,263.42446755402096,1167.1029664651282,ERM-NN
14,82,258.77970630725775,1168.8765801281615,ERM
14,82,298.0222279487848,979.855888623368,LightGBM
14,82,257.94926075725715,177.55873878371813,BCMO
14,15,258.56733984607524,1520.983475589229,ERM-NN
14,15,257.51100172863215,1515.801133305346,ERM
14,15,294.8518054483589,1247.3251130402598,LightGBM
14,15,254.33698543432237,151.08549557564717,BCMO
14,4,255.06204088361193,1388.1414396193898,ERM-NN
14,4,256.18333274980995,1363.799592072078,ERM
14,4,286.2205609927241,1056.891654133906,LightGBM
14,4,254.48046045146336,140.99805365393672,BCMO
14,95,265.91941832485963,1193.8749055138176,ERM-NN
14,95,259.5090412679652,1194.403024550443,ERM
14,95,294.0385669740218,966.5236209263952,LightGBM
14,95,255.7840964147201,176.97504800076086,BCMO
14,36,263.29357969674595,1166.0260152612043,ERM-NN
14,36,261.18708040941686,1170.3538463977095,ERM
14,36,302.4714330702402,850.4217257572201,LightGBM
14,36,256.02268426432556,143.42666314316992,BCMO
14,32,264.0657362629853,1230.2171029576562,ERM-NN
14,32,258.4721475841133,1219.217462106663,ERM
14,32,277.5564126170709,1052.9604367125776,LightGBM
14,32,257.0869114638977,151.47583263494298,BCMO
14,29,262.9334375851584,1263.097600358377,ERM-NN
14,29,304.5005489130904,1134.7174486884542,ERM
14,29,336.17537862639654,948.415886944206,LightGBM
14,29,258.19101858477313,147.5959775888996,BCMO
14,18,263.61669764004193,1259.7405032580434,ERM-NN
14,18,258.8783002586037,1246.719739489659,ERM
14,18,299.74355735656604,1028.6225384025715,LightGBM
14,18,256.52506465919873,147.9420170858062,BCMO
14,14,261.9912286103976,1293.6345420738214,ERM-NN
14,14,253.966987570674,1279.7813291882949,ERM
14,14,324.50956131212433,1025.0001335206543,LightGBM
14,14,253.49446421542112,158.66449547048674,BCMO
14,87,264.32133729930615,1324.0670065038548,ERM-NN
14,87,261.78326788826416,1303.502835858322,ERM
14,87,288.5028434670893,1121.450505375936,LightGBM
14,87,258.2018947378731,157.10881470098906,BCMO
19,82,264.3721341333357,1176.8028537987743,ERM-NN
19,82,266.3702094276043,1145.1021090291013,ERM
19,82,289.37085228650676,970.0867839693888,LightGBM
19,82,256.20789603506427,177.65735476917803,BCMO
19,15,257.526739935288,1566.422543491507,ERM-NN
19,15,258.67691894684316,1540.076071954397,ERM
19,15,273.1105829613866,1289.094274789658,LightGBM
19,15,253.6143911144587,148.49479127564624,BCMO
19,4,263.4155567620564,1386.9692985961874,ERM-NN
19,4,263.2462810226405,1349.4700946373855,ERM
19,4,307.39615789442837,1083.5782473411564,LightGBM
19,4,257.5103691934735,142.49110179936977,BCMO
19,95,265.8632456313142,1177.530874401436,ERM-NN
19,95,263.3681950587842,1156.689459312301,ERM
19,95,337.63659816671355,861.4967734262641,LightGBM
19,95,258.2477038714899,177.1724004787455,BCMO
19,36,259.1874678149408,1212.7617600893911,ERM-NN
19,36,261.40395968964225,1183.7479514278218,ERM
19,36,278.95707084403153,964.1408568872858,LightGBM
19,36,255.81678226263875,142.3718291853386,BCMO
19,32,263.7655016909078,1230.6794305036806,ERM-NN
19,32,260.4494627079648,1209.351078716875,ERM
19,32,291.0220077326221,1010.5845036592412,LightGBM
19,32,257.04108042697374,152.1397643782951,BCMO
19,29,259.41423127758105,1229.0134862281348,ERM-NN
19,29,269.26548456123317,1140.197908091484,ERM
19,29,320.18658903675373,829.0238449181494,LightGBM
19,29,256.9105440810733,145.3557382978706,BCMO
19,18,262.0061180929095,1228.3768571444125,ERM-NN
19,18,263.0238863594181,1225.645053407554,ERM
19,18,312.7151200784315,924.8938183317867,LightGBM
19,18,259.8265362222313,144.89866877468134,BCMO
19,14,262.0146829302513,1288.9339781573124,ERM-NN
19,14,254.82197104258057,1263.895493856062,ERM
19,14,290.07447827904923,1055.1960313515608,LightGBM
19,14,255.1491715427858,159.64778289092544,BCMO
19,87,261.7248005450572,1305.0648385991046,ERM-NN
19,87,261.5156026019516,1263.3813908331786,ERM
19,87,276.48858070653824,1025.263256718728,LightGBM
19,87,257.0879784327883,155.15675617834677,BCMO
24,82,270.889702678683,1182.0981105867538,ERM-NN
24,82,265.36458596345784,1146.630559293565,ERM
24,82,307.32061937444115,975.1484866883384,LightGBM
24,82,260.9542808323712,182.337536668123,BCMO
24,15,267.42572770434396,1542.329168965392,ERM-NN
24,15,262.9287662806223,1502.8187628630667,ERM
24,15,337.61285220292444,1137.3704169510738,LightGBM
24,15,259.8237613509973,154.17173190790854,BCMO
24,4,259.3651823333246,1395.9334222007467,ERM-NN
24,4,261.0987497300629,1391.587337166222,ERM
24,4,270.2190494526925,1193.3591116347295,LightGBM
24,4,252.99589564334784,142.7318558381397,BCMO
24,95,268.22454030311405,1179.9107636448978,ERM-NN
24,95,271.7606664707969,1132.4328843535986,ERM
24,95,323.0470601601597,883.9060023321647,LightGBM
24,95,258.3305684501031,177.28357028798473,BCMO
24,36,262.54118426449156,1210.4468194806789,ERM-NN
24,36,263.0161151192561,1204.3435200683823,ERM
24,36,275.8123844707851,996.6965360105046,LightGBM
24,36,256.69731057137506,143.70306768648376,BCMO
24,32,261.8489300134783,1174.3224837452751,ERM-NN
24,32,273.85131332961475,1137.308524538311,ERM
24,32,294.14357561906127,894.1863125226321,LightGBM
24,32,253.76196255831735,150.87516920882604,BCMO
24,29,268.9976113150844,1235.3035260519937,ERM-NN
24,29,284.3081638409761,1215.0885821417476,ERM
24,29,321.17931016729983,1011.645448879133,LightGBM
24,29,258.98734898622314,147.4988438210497,BCMO
24,18,267.04026698085215,1246.626725194042,ERM-NN
24,18,262.8911015459504,1196.3062315650543,ERM
24,18,312.0691348423407,971.5371669459862,LightGBM
24,18,258.38408246744143,146.27357309073363,BCMO
24,14,270.07334074655205,1267.251199332202,ERM-NN
24,14,265.2684517259506,1258.4195931298343,ERM
24,14,331.53551273533384,957.4764920617648,LightGBM
24,14,259.6952108505742,159.48486559967176,BCMO
24,87,264.46651242536456,1275.6589328814914,ERM-NN
24,87,262.7246238970282,1247.376412836062,ERM
24,87,333.8310729968397,972.9178323138816,LightGBM
24,87,255.20073970259597,156.84984572964444,BCMO
