data_synthetic,dim,random_state,model,metric1,metric2,configured_epochs,epochs_ran,steps_ran,optimizer,data_protocol,error
exp5,9,15,oracle_gmm,490.9512131741817,228.39143508903368,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,9,4,end_to_end,288.53734603533985,502.4223934850841,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,9,4,erm,287.5889026674987,499.5934344290886,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,9,4,lightgbm,288.97746389893683,503.6634226637676,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,9,4,oracle_gmm,287.3083852296984,381.9364486044747,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,9,95,end_to_end,88.99449236036607,418.2796974761585,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,9,95,erm,88.19301353517824,416.95270294271535,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,9,95,lightgbm,88.39037685302523,413.5103175962572,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,9,95,oracle_gmm,88.17553206596409,315.62658427819656,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,9,36,end_to_end,260.2439867061478,408.4589276067902,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,9,36,erm,258.95062658879704,406.187924861883,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,9,36,lightgbm,260.66292980538486,409.64225019611234,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,9,36,oracle_gmm,258.8738010761667,306.5272325698357,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,9,32,end_to_end,212.84714999877696,516.9321466112278,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,9,32,erm,212.3957621146668,513.5368260608157,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,9,32,lightgbm,212.9012875506851,556.6495889775598,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,9,32,oracle_gmm,212.31865315461064,327.22099884152476,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,9,29,end_to_end,656.7439481152255,466.742545919505,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,9,29,erm,657.1878644244113,469.8117813738056,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,9,29,lightgbm,658.7036259285336,459.52684368482295,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,9,29,oracle_gmm,656.9113743950943,293.34809118734637,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,9,18,end_to_end,287.38020321770296,650.4673527437777,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,9,18,erm,284.7093240939451,643.9458799559279,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,9,18,lightgbm,284.7119534009571,642.5436767036094,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,9,18,oracle_gmm,284.68023956238346,377.2165492297179,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,9,14,end_to_end,110.19531667609446,430.3852522165234,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,9,14,erm,108.68211495554674,425.7016975212452,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,9,14,lightgbm,108.89675824321132,424.22291612871646,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,9,14,oracle_gmm,108.64003214455688,275.8132220264702,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,9,87,end_to_end,99.05901559545796,71.03890541374354,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,9,87,erm,98.23778740814012,70.38581624502366,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,9,87,lightgbm,98.56904848939844,70.60326131774346,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,9,87,oracle_gmm,98.17441461899928,60.41109163012346,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,14,82,end_to_end,175.9984051975033,211.65169523281884,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,14,82,erm,175.561633276157,210.8755986692002,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,14,82,lightgbm,176.9639268140238,213.51091837477324,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,14,82,oracle_gmm,175.4897083423699,192.72330728416512,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,14,15,end_to_end,742.774010783603,895.9629285009213,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,14,15,erm,737.5897086115017,896.2725723327296,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,14,15,lightgbm,744.181311594685,883.7256663288347,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,14,15,oracle_gmm,737.4249356191227,509.2830308605183,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,14,4,end_to_end,251.4949727949352,435.4687841539864,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,14,4,erm,250.4549605503436,433.7078238961416,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,14,4,lightgbm,251.64821537420752,435.7916344276082,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,14,4,oracle_gmm,250.4063436506827,338.4071355747494,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,14,95,end_to_end,52.55967698901847,237.96181261967976,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,14,95,erm,51.73503260100115,235.93303931223656,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,14,95,lightgbm,51.99187963743885,233.44143923714353,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,14,95,oracle_gmm,51.70875925856729,154.77257742399055,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,14,36,end_to_end,107.31542868171788,239.99506889928983,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,14,36,erm,105.82713017861886,238.87321345480728,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,14,36,lightgbm,106.12380149066853,238.0919929457399,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,14,36,oracle_gmm,105.79492266988647,186.3537065408141,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,14,32,end_to_end,76.85058494644487,348.9762410810409,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,14,32,erm,75.07643005739283,342.85377642842695,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,14,32,lightgbm,75.25855607850693,340.30872316488586,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,14,32,oracle_gmm,75.02426231981626,296.52070244174575,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,14,29,end_to_end,990.4096291192787,667.3628559796039,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,14,29,erm,987.7648733522916,662.9412485375605,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,14,29,lightgbm,994.1596125477032,685.6266877873026,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,14,29,oracle_gmm,987.3076786380803,506.9459271023018,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,14,18,end_to_end,652.9654094147967,1015.1408859967636,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,14,18,erm,649.9252508742574,1016.415106610094,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,14,18,lightgbm,653.542357967171,988.298049269356,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,14,18,oracle_gmm,649.8073690412635,503.1113040538941,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,14,14,end_to_end,132.9502972430626,336.8058399902669,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,14,14,erm,131.81416037845355,330.93241759116194,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,14,14,lightgbm,133.4801767557238,341.945837044021,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,14,14,oracle_gmm,131.7633887644848,268.51458061254306,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,14,87,end_to_end,617.1323547914112,385.6100887385382,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,14,87,erm,616.2256539158634,382.9565676906016,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,14,87,lightgbm,617.3643973804128,387.744162314747,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,14,87,oracle_gmm,616.2444329872881,321.596647128742,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,19,82,end_to_end,269.8408778779075,349.71883485874315,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,19,82,erm,267.8111381557901,347.0478817855642,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,19,82,lightgbm,268.5468086564396,347.9906792597522,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,19,82,oracle_gmm,267.8309791591566,325.23970578246906,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,19,15,end_to_end,664.9367717655764,630.7367695821071,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,19,15,erm,662.2783057656371,625.0484626731591,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,19,15,lightgbm,664.3658974512055,630.4819896283382,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,19,15,oracle_gmm,662.0503699442705,391.96416660757495,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,19,4,end_to_end,103.43751336622314,185.95113965610105,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,19,4,erm,102.2613378938797,184.11704482687455,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,19,4,lightgbm,102.58845630236708,184.53065057293503,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,19,4,oracle_gmm,102.22502874728904,168.84146549560012,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,19,95,end_to_end,146.2789357595908,699.3056792550573,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,19,95,erm,141.10400801590862,681.8783578449775,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,19,95,lightgbm,141.31021474660403,677.890629373746,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,19,95,oracle_gmm,141.07136714676906,567.454899627379,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,19,36,end_to_end,389.6920495716113,920.9479354737614,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,19,36,erm,387.7818209340614,921.6102872344362,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,19,36,lightgbm,391.8769230164796,913.6406038855584,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
