dataset,dim,random_state,simulation_num,method,metric1,metric2,replications,samples_per_replication,final_samples_per_replication,fidelity_weight,smoothing_mu,configured_epochs,epochs_ran,batch_size,steps_ran,optimizer,initial_checkpoint_sha256,ipa_gradient_variance_trace,ipa_gradient_variance_mean_per_parameter,ipa_gradient_std_norm,ipa_gradient_mean_norm,ipa_gradient_relative_variance,ipa_gradient_loss_mean,ipa_gradient_loss_variance,gradient_variance_repeats,gradient_variance_batch_size,gradient_variance_replications,gradient_variance_samples_per_replication,gradient_variance_seed,gradient_parameter_count,weighted_ipa_gradient_variance_trace,ipa_gradient_weight,ipa_batched_gradient_variance,weighted_ipa_batched_gradient_variance
van_havre,4,4,1,rseto_ipa_R1,319.8372802734375,153.89913940429688,1.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,7b7e2caf73a71b7a385c83240c2e3d033132807aea291515c4fa2f2eacef18df,5.28572940826416,0.0001753725809976,2.2990713119506836,3.7301745414733887,0.3798801898956299,3.4389424920082092,0.0011600004613967,8.0,16.0,1.0,137.0,30004.0,30140.0,1.32143235206604,0.5,5.28572940826416,1.32143235206604
van_havre,4,4,4,rseto_ipa_R4,320.5777587890625,154.35317993164062,4.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,7b7e2caf73a71b7a385c83240c2e3d033132807aea291515c4fa2f2eacef18df,0.8933897018432617,2.9641330911545083e-05,0.9451929330825806,3.5323188304901123,0.0716013386845588,3.438795506954193,0.0002357653302941,8.0,16.0,4.0,137.0,30004.0,30140.0,0.2233474254608154,0.5,0.8933897018432617,0.2233474254608154
van_havre,4,4,16,rseto_ipa_R16,319.6518249511719,154.04934692382812,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,7b7e2caf73a71b7a385c83240c2e3d033132807aea291515c4fa2f2eacef18df,0.2709956467151642,8.9912291514338e-06,0.5205724239349365,3.4053375720977783,0.0233690999448299,3.4541772603988647,7.891413924556088e-05,8.0,16.0,16.0,137.0,30004.0,30140.0,0.067748911678791,0.5,0.2709956467151642,0.067748911678791
van_havre,4,4,64,rseto_ipa_R64,319.8693542480469,154.573974609375,64.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,7b7e2caf73a71b7a385c83240c2e3d033132807aea291515c4fa2f2eacef18df,0.0251833815127611,8.355468139598088e-07,0.1586927324533462,3.387517213821411,0.0021945780608803,3.451022148132324,6.777554956118235e-06,8.0,16.0,64.0,137.0,30004.0,30140.0,0.0062958453781902,0.5,0.0251833815127611,0.0062958453781902
van_havre,4,4,256,rseto_ipa_R256,320.2323303222656,154.53475952148438,256.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,7b7e2caf73a71b7a385c83240c2e3d033132807aea291515c4fa2f2eacef18df,0.014173936098814,4.7026995275700756e-07,0.119054339826107,3.416926145553589,0.0012140017934143,3.4439779222011566,5.019802528189692e-06,8.0,16.0,256.0,137.0,30004.0,30140.0,0.0035434840247035,0.5,0.014173936098814,0.0035434840247035
van_havre,4,95,1,rseto_ipa_R1,312.283447265625,189.0105743408203,1.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,78f76e4659e1c3d2d2885f41d0eb97094976fe4750ea51fcd8d42dd97f6e5104,2.4257190227508545,8.048171730479226e-05,1.5574719905853271,4.540731430053711,0.1176491752266883,3.684589684009552,0.0021097701225625,8.0,16.0,1.0,137.0,30095.0,30140.0,0.6064297556877136,0.5,2.4257190227508545,0.6064297556877136
van_havre,4,95,4,rseto_ipa_R4,315.3334655761719,186.4306640625,4.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,78f76e4659e1c3d2d2885f41d0eb97094976fe4750ea51fcd8d42dd97f6e5104,0.473891019821167,1.57229933392955e-05,0.6883974075317383,5.525577068328857,0.0155211240053176,3.596161037683487,0.0005557934033331,8.0,16.0,4.0,137.0,30095.0,30140.0,0.1184727549552917,0.5,0.473891019821167,0.1184727549552917
van_havre,4,95,16,rseto_ipa_R16,314.11248779296875,187.6838836669922,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,78f76e4659e1c3d2d2885f41d0eb97094976fe4750ea51fcd8d42dd97f6e5104,0.1351886987686157,4.485358203965006e-06,0.367680162191391,5.287295818328857,0.0048358542844653,3.6261819899082184,0.0001895933738741,8.0,16.0,16.0,137.0,30095.0,30140.0,0.0337971746921539,0.5,0.1351886987686157,0.0337971746921539
van_havre,4,95,64,rseto_ipa_R64,317.2219543457031,188.7886199951172,64.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,78f76e4659e1c3d2d2885f41d0eb97094976fe4750ea51fcd8d42dd97f6e5104,0.0403560623526573,1.3389536661634338e-06,0.2008881866931915,6.000879764556885,0.0011206730268895,3.5683895647525787,3.69488411696547e-05,8.0,16.0,64.0,137.0,30095.0,30140.0,0.0100890155881643,0.5,0.0403560623526573,0.0100890155881643
van_havre,4,95,256,rseto_ipa_R256,317.0357360839844,189.1551055908203,256.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,78f76e4659e1c3d2d2885f41d0eb97094976fe4750ea51fcd8d42dd97f6e5104,0.0109334215521812,3.6275451975598116e-07,0.1045630052685737,6.011388778686523,0.0003025564947165,3.57409930229187,9.016660555971612e-06,8.0,16.0,256.0,137.0,30095.0,30140.0,0.0027333553880453,0.5,0.0109334215521812,0.0027333553880453
van_havre,4,36,1,rseto_ipa_R1,284.2349853515625,152.20106506347656,1.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,c15030643543841d4a8db666e6c0621334405f908e70f2724ae9e5a9765cc01d,61.71781921386719,0.0020477047655731,7.856069087982178,16.254419326782227,0.2335971891880035,18.860277891159058,0.1199523478997304,8.0,16.0,1.0,137.0,30036.0,30140.0,15.429454803466797,0.5,61.71781921386719,15.429454803466797
van_havre,4,36,4,rseto_ipa_R4,284.837158203125,153.41537475585938,4.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,c15030643543841d4a8db666e6c0621334405f908e70f2724ae9e5a9765cc01d,22.859708786010746,0.0007584508275613,4.781182765960693,13.509599685668944,0.1252523064613342,18.684801816940308,0.0273712886118378,8.0,16.0,4.0,137.0,30036.0,30140.0,5.7149271965026855,0.5,22.859708786010746,5.7149271965026855
