dataset,dim,random_state,lambda,method,metric1,metric2,replications,samples_per_replication,final_samples_per_replication,fidelity_weight,smoothing_mu,configured_epochs,epochs_ran,batch_size,steps_ran,optimizer,initial_checkpoint_sha256,ipa_gradient_variance_trace,ipa_gradient_variance_mean_per_parameter,ipa_gradient_std_norm,ipa_gradient_mean_norm,ipa_gradient_relative_variance,ipa_gradient_loss_mean,ipa_gradient_loss_variance,gradient_variance_repeats,gradient_variance_batch_size,gradient_variance_replications,gradient_variance_samples_per_replication,gradient_variance_seed,gradient_parameter_count,weighted_ipa_gradient_variance_trace,ipa_gradient_weight
van_havre,4,95,0.5,rseto_ipa_lambda0.5,314.11248779296875,187.6838836669922,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,78f76e4659e1c3d2d2885f41d0eb97094976fe4750ea51fcd8d42dd97f6e5104,,,,,,,,,,,,,,,
van_havre,4,95,0.7,rseto_ipa_lambda0.7,339.03509521484375,188.33937072753903,16.0,128.0,137.0,0.7,0.05,50,50,64,9050,projected_sgd,78f76e4659e1c3d2d2885f41d0eb97094976fe4750ea51fcd8d42dd97f6e5104,,,,,,,,,,,,,,,
van_havre,4,95,0.9,rseto_ipa_lambda0.9,380.38629150390625,189.0979461669922,16.0,128.0,137.0,0.9,0.05,50,50,64,9050,projected_sgd,78f76e4659e1c3d2d2885f41d0eb97094976fe4750ea51fcd8d42dd97f6e5104,,,,,,,,,,,,,,,
van_havre,4,36,0.1,rseto_ipa_lambda0.1,282.30474853515625,328.8788146972656,16.0,128.0,137.0,0.1,0.05,50,50,64,9050,projected_sgd,c15030643543841d4a8db666e6c0621334405f908e70f2724ae9e5a9765cc01d,,,,,,,,,,,,,,,
van_havre,4,36,0.3,rseto_ipa_lambda0.3,283.4288024902344,178.7045135498047,16.0,128.0,137.0,0.3,0.05,50,50,64,9050,projected_sgd,c15030643543841d4a8db666e6c0621334405f908e70f2724ae9e5a9765cc01d,,,,,,,,,,,,,,,
van_havre,4,36,0.5,rseto_ipa_lambda0.5,284.4351501464844,156.03811645507812,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,c15030643543841d4a8db666e6c0621334405f908e70f2724ae9e5a9765cc01d,,,,,,,,,,,,,,,
van_havre,4,36,0.7,rseto_ipa_lambda0.7,286.3324890136719,151.46275329589844,16.0,128.0,137.0,0.7,0.05,50,50,64,9050,projected_sgd,c15030643543841d4a8db666e6c0621334405f908e70f2724ae9e5a9765cc01d,,,,,,,,,,,,,,,
van_havre,4,36,0.9,rseto_ipa_lambda0.9,296.66436767578125,148.30062866210938,16.0,128.0,137.0,0.9,0.05,50,50,64,9050,projected_sgd,c15030643543841d4a8db666e6c0621334405f908e70f2724ae9e5a9765cc01d,,,,,,,,,,,,,,,
van_havre,4,32,0.1,rseto_ipa_lambda0.1,275.30206298828125,222.7888336181641,16.0,128.0,137.0,0.1,0.05,50,50,64,9050,projected_sgd,d5901b2c3c3d992b5c347bd1114d8242fffb989fc7e0d1798453a3132763db63,,,,,,,,,,,,,,,
van_havre,4,32,0.3,rseto_ipa_lambda0.3,276.8108215332031,180.7785491943359,16.0,128.0,137.0,0.3,0.05,50,50,64,9050,projected_sgd,d5901b2c3c3d992b5c347bd1114d8242fffb989fc7e0d1798453a3132763db63,,,,,,,,,,,,,,,
van_havre,4,32,0.5,rseto_ipa_lambda0.5,278.1894836425781,166.82810974121094,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,d5901b2c3c3d992b5c347bd1114d8242fffb989fc7e0d1798453a3132763db63,,,,,,,,,,,,,,,
van_havre,4,32,0.7,rseto_ipa_lambda0.7,281.3559265136719,162.9836883544922,16.0,128.0,137.0,0.7,0.05,50,50,64,9050,projected_sgd,d5901b2c3c3d992b5c347bd1114d8242fffb989fc7e0d1798453a3132763db63,,,,,,,,,,,,,,,
van_havre,4,32,0.9,rseto_ipa_lambda0.9,303.2218322753906,160.2794189453125,16.0,128.0,137.0,0.9,0.05,50,50,64,9050,projected_sgd,d5901b2c3c3d992b5c347bd1114d8242fffb989fc7e0d1798453a3132763db63,,,,,,,,,,,,,,,
van_havre,4,29,0.1,rseto_ipa_lambda0.1,297.34649658203125,247.12628173828125,16.0,128.0,137.0,0.1,0.05,50,50,64,9050,projected_sgd,3e39b6de17e4e080040a7b701168cc86fe66b51f5ba928609afedac82929b310,,,,,,,,,,,,,,,
van_havre,4,29,0.3,rseto_ipa_lambda0.3,300.4221496582031,168.35580444335938,16.0,128.0,137.0,0.3,0.05,50,50,64,9050,projected_sgd,3e39b6de17e4e080040a7b701168cc86fe66b51f5ba928609afedac82929b310,,,,,,,,,,,,,,,
van_havre,4,29,0.5,rseto_ipa_lambda0.5,313.12945556640625,159.0460662841797,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,3e39b6de17e4e080040a7b701168cc86fe66b51f5ba928609afedac82929b310,,,,,,,,,,,,,,,
van_havre,4,29,0.7,rseto_ipa_lambda0.7,336.5215759277344,156.57203674316406,16.0,128.0,137.0,0.7,0.05,50,50,64,9050,projected_sgd,3e39b6de17e4e080040a7b701168cc86fe66b51f5ba928609afedac82929b310,,,,,,,,,,,,,,,
van_havre,4,29,0.9,rseto_ipa_lambda0.9,360.80615234375,155.49095153808594,16.0,128.0,137.0,0.9,0.05,50,50,64,9050,projected_sgd,3e39b6de17e4e080040a7b701168cc86fe66b51f5ba928609afedac82929b310,,,,,,,,,,,,,,,
van_havre,4,18,0.1,rseto_ipa_lambda0.1,288.0437316894531,190.05628967285156,16.0,128.0,137.0,0.1,0.05,50,50,64,9050,projected_sgd,b30e1babd83d63a26b77f1622fe0c348dc64dcd77977229559a4562297ae76f9,,,,,,,,,,,,,,,
van_havre,4,18,0.3,rseto_ipa_lambda0.3,295.62017822265625,159.74037170410156,16.0,128.0,137.0,0.3,0.05,50,50,64,9050,projected_sgd,b30e1babd83d63a26b77f1622fe0c348dc64dcd77977229559a4562297ae76f9,,,,,,,,,,,,,,,
van_havre,4,18,0.5,rseto_ipa_lambda0.5,303.5602722167969,154.38009643554688,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,b30e1babd83d63a26b77f1622fe0c348dc64dcd77977229559a4562297ae76f9,,,,,,,,,,,,,,,
van_havre,4,18,0.7,rseto_ipa_lambda0.7,317.8514099121094,151.1494903564453,16.0,128.0,137.0,0.7,0.05,50,50,64,9050,projected_sgd,b30e1babd83d63a26b77f1622fe0c348dc64dcd77977229559a4562297ae76f9,,,,,,,,,,,,,,,
van_havre,4,18,0.9,rseto_ipa_lambda0.9,332.9515380859375,150.00355529785156,16.0,128.0,137.0,0.9,0.05,50,50,64,9050,projected_sgd,b30e1babd83d63a26b77f1622fe0c348dc64dcd77977229559a4562297ae76f9,,,,,,,,,,,,,,,
van_havre,4,14,0.1,rseto_ipa_lambda0.1,285.0411071777344,241.44142150878903,16.0,128.0,137.0,0.1,0.05,50,50,64,9050,projected_sgd,30c1607e9c61ee54818777568e3949928a94d9503ceec9ad92606329be6d6f55,,,,,,,,,,,,,,,
van_havre,4,14,0.3,rseto_ipa_lambda0.3,286.1623229980469,182.7509002685547,16.0,128.0,137.0,0.3,0.05,50,50,64,9050,projected_sgd,30c1607e9c61ee54818777568e3949928a94d9503ceec9ad92606329be6d6f55,,,,,,,,,,,,,,,
van_havre,4,14,0.5,rseto_ipa_lambda0.5,288.0516357421875,171.74826049804688,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,30c1607e9c61ee54818777568e3949928a94d9503ceec9ad92606329be6d6f55,,,,,,,,,,,,,,,
van_havre,4,14,0.7,rseto_ipa_lambda0.7,291.61370849609375,168.1860809326172,16.0,128.0,137.0,0.7,0.05,50,50,64,9050,projected_sgd,30c1607e9c61ee54818777568e3949928a94d9503ceec9ad92606329be6d6f55,,,,,,,,,,,,,,,
van_havre,4,14,0.9,rseto_ipa_lambda0.9,302.2884521484375,165.38006591796875,16.0,128.0,137.0,0.9,0.05,50,50,64,9050,projected_sgd,30c1607e9c61ee54818777568e3949928a94d9503ceec9ad92606329be6d6f55,,,,,,,,,,,,,,,
van_havre,4,87,0.1,rseto_ipa_lambda0.1,270.62847900390625,221.5455017089844,16.0,128.0,137.0,0.1,0.05,50,50,64,9050,projected_sgd,df256ef83b1b901a2ea72a4cbd34b84ce1ac5d13cad65ddc7ad59bbb13fb932b,,,,,,,,,,,,,,,
van_havre,4,87,0.3,rseto_ipa_lambda0.3,271.2673645019531,177.4963836669922,16.0,128.0,137.0,0.3,0.05,50,50,64,9050,projected_sgd,df256ef83b1b901a2ea72a4cbd34b84ce1ac5d13cad65ddc7ad59bbb13fb932b,,,,,,,,,,,,,,,
van_havre,4,87,0.5,rseto_ipa_lambda0.5,272.09393310546875,167.53176879882812,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,df256ef83b1b901a2ea72a4cbd34b84ce1ac5d13cad65ddc7ad59bbb13fb932b,,,,,,,,,,,,,,,
van_havre,4,87,0.7,rseto_ipa_lambda0.7,274.6401062011719,164.61737060546875,16.0,128.0,137.0,0.7,0.05,50,50,64,9050,projected_sgd,df256ef83b1b901a2ea72a4cbd34b84ce1ac5d13cad65ddc7ad59bbb13fb932b,,,,,,,,,,,,,,,
van_havre,4,87,0.9,rseto_ipa_lambda0.9,288.7565002441406,163.7169647216797,16.0,128.0,137.0,0.9,0.05,50,50,64,9050,projected_sgd,df256ef83b1b901a2ea72a4cbd34b84ce1ac5d13cad65ddc7ad59bbb13fb932b,,,,,,,,,,,,,,,
van_havre,9,82,0.1,rseto_ipa_lambda0.1,279.7327880859375,973.75537109375,16.0,128.0,137.0,0.1,0.05,50,50,64,9050,projected_sgd,b02cbb333fcb357b46bb08288a7f4a450b5883f5c8c928e26c08b6bba9238aa6,,,,,,,,,,,,,,,
van_havre,9,82,0.3,rseto_ipa_lambda0.3,280.8935546875,259.9065856933594,16.0,128.0,137.0,0.3,0.05,50,50,64,9050,projected_sgd,b02cbb333fcb357b46bb08288a7f4a450b5883f5c8c928e26c08b6bba9238aa6,,,,,,,,,,,,,,,
