dataset,dim,simulation_num,metric1_mean,metric1_std,metric1_count,metric2_mean,metric2_std,metric2_count,ipa_gradient_variance_trace_mean,ipa_gradient_variance_trace_std,ipa_gradient_variance_trace_count,weighted_ipa_gradient_variance_trace_mean,weighted_ipa_gradient_variance_trace_std,weighted_ipa_gradient_variance_trace_count
exp5,4,1,190.52884941101075,93.33337094345373,10,206.60355682373046,97.26504613286274,10,34.260240560770036,33.42587271769964,10,8.565060140192509,8.35646817942491,10
exp5,4,4,190.55083732604982,93.32313387619992,10,206.5448760986328,97.16510851559143,10,20.680000515282153,47.872191069824915,10,5.170000128820538,11.968047767456229,10
exp5,4,16,190.46999397277833,93.31287580127832,10,206.41489944458007,97.24444362843717,10,2.5753670960664747,3.475318133928396,10,0.6438417740166187,0.868829533482099,10
exp5,4,64,190.51873359680175,93.37478487474385,10,206.39060592651367,97.19677486162136,10,0.7963937783613801,1.0089999747347977,10,0.19909844459034498,0.25224999368369944,10
exp5,4,256,190.48381576538085,93.3761535365575,10,206.6188003540039,97.25435179627407,10,0.12847199963871386,0.17027876538439676,10,0.03211799990967841,0.04256969134609917,10
exp5,9,1,260.390934753418,188.9921296794488,10,272.86480445861815,109.10127092350031,10,38.39345824718475,71.02923256255347,10,9.598364561796188,17.75730814063837,10
exp5,9,4,260.28942184448243,189.04153712435757,10,272.7010902404785,108.93576164646306,10,28.421465857326986,57.08354984928645,10,7.1053664643317465,14.270887462321612,10
exp5,9,16,260.3745376586914,189.10035621555235,10,272.871085357666,109.1206477350283,10,7.822570060752332,22.097773101523003,10,1.955642515188083,5.524443275380751,10
exp5,9,64,260.3423027038574,189.07032799656577,10,273.28611946105957,109.55332047637872,10,2.446816343255341,6.5524992902755095,10,0.6117040858138353,1.6381248225688774,10
exp5,9,256,260.29333343505857,189.07089508680417,10,272.4088508605957,108.66069248428894,10,0.8782426211982965,2.2763728679356454,10,0.21956065529957414,0.5690932169839114,10
exp5,14,1,380.23969650268555,337.3197364579715,10,334.0298538208008,138.2867416144529,10,231.3599379658699,437.3401348175193,10,57.839984491467476,109.33503370437982,10
exp5,14,4,380.29463691711425,337.3647364880293,10,334.1239715576172,138.23843089452416,10,29.36341533511877,50.90393502103572,10,7.3408538337796925,12.72598375525893,10
exp5,14,16,380.30356216430664,337.38202529112704,10,333.9261505126953,138.37062581621348,10,7.732432099804282,13.154137056801781,10,1.9331080249510706,3.2885342642004454,10
exp5,14,64,380.2501697540283,337.4111427144331,10,333.7668258666992,138.36681810744847,10,1.5588159157428891,2.093384431200832,10,0.3897039789357223,0.523346107800208,10
exp5,14,256,380.25167617797854,337.41950745475395,10,333.8704666137695,138.405220648023,10,0.4022482082829811,0.47862258923929946,10,0.10056205207074523,0.11965564730982486,10
exp5,19,1,358.4799354553223,224.40555027874944,10,397.7707183837891,153.05972477793867,10,147.8677329659462,328.72759781728354,10,36.96693324148655,82.18189945432088,10
exp5,19,4,358.5247352600098,224.51067028409966,10,396.9909378051758,152.78489683654834,10,17.170595978200435,34.223402822251444,10,4.292648994550109,8.555850705562861,10
exp5,19,16,358.3628410339355,224.35099716312126,10,397.1838150024414,152.88069389027197,10,2.7026508649811145,4.486988446024085,10,0.6756627162452787,1.1217471115060214,10
exp5,19,64,358.3791107177734,224.39531828520816,10,396.5964065551758,152.42991065146333,10,0.7613688793033362,1.6914874340031787,10,0.190342219825834,0.42287185850079473,10
exp5,19,256,358.48770294189455,224.3474815643232,10,397.8841949462891,153.03635753457488,10,0.21452619173214765,0.4708012272966979,10,0.053631547933036886,0.11770030682417447,10
exp5,24,1,326.7101455688477,302.9625212311559,10,335.0439819335937,216.17344494250034,10,37.007392555475235,46.53202731488058,10,9.251848138868809,11.633006828720145,10
exp5,24,4,326.9059425354004,303.17399522928105,10,334.67259979248047,214.5417684399419,10,47.429483625292775,125.96335494106793,10,11.857370906323196,31.490838735266987,10
exp5,24,16,326.7378921508789,303.0013677946879,10,335.91244583129884,216.88247969813185,10,11.200923228263855,25.96157700956044,10,2.800230807065964,6.49039425239011,10
exp5,24,64,326.6922775268555,303.0315111287961,10,336.0567459106445,216.98975512500908,10,1.1102768019307405,1.936080051912341,10,0.27756920048268513,0.4840200129780852,10
exp5,24,256,326.7943481445312,303.0736292692513,10,336.13969497680665,217.3092701587441,10,0.4474548680940643,0.8305602551912589,10,0.11186371702351602,0.20764006379781474,10
van_havre,4,1,293.2978820800781,20.61638179398138,10,167.0975784301758,13.239435279223184,10,7.199418374150992,19.225697794963956,10,1.799854593537748,4.806424448740989,10
van_havre,4,4,294.36756286621096,21.720263979421777,10,167.29635162353514,12.985913988998204,10,2.452862278255634,7.175901831067063,10,0.6132155695639085,1.7939754577667653,10
van_havre,4,16,293.6270294189453,20.881314181139647,10,167.42552947998047,12.55440761219134,10,1.2831061125150882,3.888589689192511,10,0.320776528128772,0.9721474222981278,10
van_havre,4,64,294.13560791015624,21.427836455399277,10,167.63299713134765,13.011999722028062,10,0.1273671148199355,0.3695475738329191,10,0.03184177870498384,0.09238689345822976,10
van_havre,4,256,294.1756072998047,21.483404334706645,10,167.56494750976563,13.035397877220987,10,0.03618984728382198,0.1020116564320023,10,0.009047461820955473,0.02550291410800058,10
van_havre,9,1,288.7245391845703,14.983937462219577,10,170.53306427001954,14.903010378880166,10,28.577023071050643,86.73925832541455,10,7.144255767762661,21.68481458135364,10
van_havre,9,4,288.58689270019534,15.21703308809043,10,173.2467300415039,14.079991639147305,10,33.56450188229792,104.38983372070584,10,8.39112547057448,26.09745843017646,10
van_havre,9,16,288.40900268554685,15.100862777246657,10,172.75161437988282,13.681749584462004,10,14.573921253159643,45.6580136851642,10,3.6434803132899107,11.41450342129105,10
van_havre,9,64,288.65765075683595,15.220208231849021,10,171.81433563232423,13.120573864209238,10,4.375908425537636,13.630569782704915,10,1.093977106384409,3.407642445676229,10
van_havre,9,256,288.1679992675781,14.886954927653553,10,172.98914489746093,13.821650850596498,10,1.0037162327033002,3.144248387439091,10,0.250929058175825,0.7860620968597729,10
van_havre,14,1,293.63921508789065,12.851201358807877,10,171.0266845703125,9.655149078336178,10,83.63298293370754,197.85798594723752,10,20.908245733426885,49.46449648680938,10
van_havre,14,4,294.6944305419922,14.986022554539005,10,172.07286376953124,10.425319782611973,10,210.90273945499212,648.9636293944593,10,52.72568486374803,162.24090734861483,10
van_havre,14,16,294.1130706787109,14.21748724929793,10,174.44810180664064,14.793480333762185,10,13.91867673480883,37.508477647951516,10,3.479669183702208,9.37711941198788,10
van_havre,14,64,294.3222351074219,14.205401495194396,10,171.81739654541016,10.336434952572997,10,12.341623680852354,25.970165794887066,10,3.0854059202130886,6.4925414487217665,10
van_havre,14,256,294.1411071777344,14.018351288657483,10,171.41313629150392,10.735477207098134,10,1.7695605766260996,3.966248932439416,10,0.4423901441565249,0.991562233109854,10
van_havre,19,1,284.71104431152344,10.760841262922902,10,173.22746887207032,16.95273757623823,10,21.53130810558796,60.47629746919375,10,5.38282702639699,15.119074367298438,10
van_havre,19,4,284.64178161621095,10.762206293570017,10,170.6228790283203,12.624618264955284,10,1.7137809062376619,3.4219047936113394,10,0.42844522655941547,0.8554761984028348,10
van_havre,19,16,284.56430969238284,10.792134567310939,10,170.8911163330078,12.582188802353743,10,1.1190987062407658,2.1366704766901314,10,0.27977467656019134,0.5341676191725329,10
van_havre,19,64,284.7388885498047,10.734303589874099,10,171.32115020751954,12.349368371935492,10,1.1524139665765687,2.2674347297488917,10,0.2881034916441422,0.5668586824372229,10
van_havre,19,256,284.75469360351565,10.797345646963358,10,171.83971557617187,12.611981531521856,10,1.0064246817433742,2.188924404472589,10,0.2516061704358435,0.5472311011181472,10
van_havre,24,1,300.2358917236328,13.7825188264508,10,170.73071746826173,13.56118495248722,10,3.1127503104507923,3.7184666221504274,10,0.7781875776126981,0.9296166555376069,10
van_havre,24,4,300.00086364746096,13.621946129509103,10,170.82321319580078,13.64404829297541,10,1.0482381653040647,1.823978493565785,10,0.26205954132601617,0.4559946233914463,10
van_havre,24,16,300.1139190673828,13.71913833368788,10,170.4434783935547,13.48365476514714,10,1.0482827205210925,2.9865854789486135,10,0.26207068013027307,0.7466463697371534,10
van_havre,24,64,300.0987609863281,13.727872994984567,10,170.56053009033204,13.561020635686774,10,0.23541124574840064,0.4671942385150603,10,0.058852811437100125,0.11679855962876508,10
van_havre,24,256,300.39976806640624,14.112432990705473,10,171.00037841796876,13.492358698658338,10,0.09105121307075019,0.15397848973700695,10,0.02276280326768752,0.038494622434251745,10
