dataset,dim,random_state,method,metric1,metric2,configured_epochs,epochs_ran,batch_size,steps_ran,optimizer,initial_checkpoint_sha256
van_havre,14,15,spline_qfr,325.1872863769531,170.5834197998047,50,50,64,9050,projected_sgd,596ebda6400342b7af65a651b32edc15460c7556b57be16e0cb4648a117f31cf
van_havre,14,4,spline_qfr,362.8534851074219,161.5542755126953,50,50,64,9050,projected_sgd,45d876908fe312f9e49a32763fc3747ce658b5471be0f0bdae0d5752a29413cc
van_havre,14,95,spline_qfr,353.4122009277344,188.3361358642578,50,50,64,9050,projected_sgd,ab884b6d2b7b76350e39bae6ef3ece53538685fece7434a30f8e874907af2b23
van_havre,14,36,spline_qfr,297.2032165527344,163.79428100585938,50,50,64,9050,projected_sgd,4ff6379ed145cee72ce017c31d46bc60b928c235cc8061dadc2beb621fe74d60
van_havre,14,32,spline_qfr,373.9308471679687,165.4952850341797,50,50,64,9050,projected_sgd,1654dc3aeb2b3357641308f384f98c6b3c26c7143115c98eaa081fe69760f0c0
van_havre,14,29,spline_qfr,417.6566162109375,163.63983154296875,50,50,64,9050,projected_sgd,9294d72fa5b61f8ee466b08f0362324b62bffcd55e6a5cc792223b36722d735a
van_havre,14,18,spline_qfr,456.9188537597656,169.8658447265625,50,50,64,9050,projected_sgd,dafef547df37897cfdd07e450a80973c66a35bf8aa07cb5b24dacfe6f27e43a1
van_havre,14,14,spline_qfr,362.427978515625,169.1943359375,50,50,64,9050,projected_sgd,e63fd45cd7e50f8fb6b7e0790da39726b948e2cad12a19f16f1de3f1e2a9cb4b
van_havre,14,87,spline_qfr,364.3022766113281,186.62750244140625,50,50,64,9050,projected_sgd,62ae7bd64d0144c8cd36d72a442dd28153562a097bbaf76225deb49b8a4a9dbd
van_havre,19,82,spline_qfr,360.9779968261719,190.7990875244141,50,50,64,9050,projected_sgd,e90c14de025c5c66c45a02b6be5e6e33f0a26e2a3ef3434173514d7a5d15ac0e
van_havre,19,15,spline_qfr,303.9411926269531,184.81549072265625,50,50,64,9050,projected_sgd,cb34c1839b2176d4bd532159eec9244289e92c58cbc2897c030cbb7489f2c296
van_havre,19,4,spline_qfr,350.39990234375,159.06491088867188,50,50,64,9050,projected_sgd,014743b694c72e3462cf0b24c3b60bf7f34ee273e487c71e494f3e7151444f4a
van_havre,19,95,spline_qfr,368.50091552734375,186.66261291503903,50,50,64,9050,projected_sgd,9ad55b69db990f153e8df55d08d68feb60c4decf80bac9cb3feaa01a3daf01f0
van_havre,19,36,spline_qfr,543.0177001953125,161.9420928955078,50,50,64,9050,projected_sgd,344353085eac7599368c8293b9d7b13c9b161e2328eea7c4c8f4372fd91d881f
van_havre,19,32,spline_qfr,321.585693359375,171.15562438964844,50,50,64,9050,projected_sgd,0e8e7ba1b996a83247ff72e097e04945b4323c5a483812f55a660af0e25531b8
van_havre,19,29,spline_qfr,1428.7542724609375,168.16473388671875,50,50,64,9050,projected_sgd,439de3d690b01dbb6f7a8469b4b9b8672c57793ee92d3786cd52bd508352ce25
van_havre,19,18,spline_qfr,365.0079345703125,163.7027587890625,50,50,64,9050,projected_sgd,4a91b525a05403bd2ba4d60081a6b7d241a91ee42b190c869365c0435cb30eac
van_havre,19,14,spline_qfr,914.02587890625,187.17529296875,50,50,64,9050,projected_sgd,8b60cc7cd2d0502657b6d4a688ac57f4e62662c311c90c8b07a99216e8412a45
van_havre,19,87,spline_qfr,324.60601806640625,172.59957885742188,50,50,64,9050,projected_sgd,2d8482644992adbc5177e00461037ae5db4729538c8910256bd5a2d680a792dc
van_havre,24,82,spline_qfr,436.3941955566406,195.7959747314453,50,50,64,9050,projected_sgd,f65e2e3fee45552dfb040927016ac1bc1e174b76c30dedf9d31858b6be12e52a
van_havre,24,15,spline_qfr,434.5617370605469,170.3028564453125,50,50,64,9050,projected_sgd,5a78676afe9eb620446c1fe56d9a29cfcfcf328a303b8ba592aa354981a60fa2
van_havre,24,4,spline_qfr,288.5341491699219,173.25778198242188,50,50,64,9050,projected_sgd,24f8fdf6639f15d45bc8b33c914ce3cae4852577ec012af04d0679354cfd478e
van_havre,24,95,spline_qfr,357.8604736328125,194.00152587890625,50,50,64,9050,projected_sgd,034a99a1b5b26fc7df9732d0902f029688a018e153bc371c25ec215c4322a6d6
van_havre,24,36,spline_qfr,430.7866516113281,155.1084442138672,50,50,64,9050,projected_sgd,38edd7c92e557218e0e5da00079ebae40f281643899ce6f87ea9cc759703b5d7
van_havre,24,32,spline_qfr,330.57464599609375,170.76185607910156,50,50,64,9050,projected_sgd,7ddc4c2625d48f6738f51037be51831c37c04e58a0aa4965b9790c3ecd0145bb
van_havre,24,29,spline_qfr,370.2711181640625,170.3758087158203,50,50,64,9050,projected_sgd,ebc5b3dcf6b371418d919278962342ffc5663f5fc9ed357ebc15e858e930a4bf
van_havre,24,18,spline_qfr,295.9248352050781,156.3246612548828,50,50,64,9050,projected_sgd,0e2f7db9d430b70dafb98508e2df300aff9a26a16a7056561d22b8ab74998288
van_havre,24,14,spline_qfr,385.21533203125,169.65036010742188,50,50,64,9050,projected_sgd,2c92acfd77cf80bff02e46f06aa0e2ca1ff366c0ffab8f9b69d5edf783a95097
van_havre,24,87,spline_qfr,534.5726318359375,184.6631317138672,50,50,64,9050,projected_sgd,e4453e527e95ae1c147f9b7a80fde3dc501e467112c48e3eac40895c6108e4ee
