Dim,Lambda 0.1,Lambda 0.3,Lambda 0.5,Lambda 0.7,Lambda 0.9,Spline-ETO,Spline-QFR,BCMO,ERM,LightGBM,ERM-NN
4,286.87754211425784,289.4993865966797,293.6270294189453,302.35162658691405,324.4781799316406,364.9671112060547,354.9242004394531,256.2555346644293,257.2146530485072,292.42914050114086,262.283772995806
9,282.9076202392578,284.6194091796875,288.40900268554685,295.4376556396484,316.7102081298828,346.9571868896484,373.58643798828126,257.29864888482695,260.59190217974316,292.35440552159326,263.81759682200675
14,288.9594299316406,290.5362182617188,294.1130706787109,305.40410766601565,331.1511596679687,367.593115234375,364.2226257324219,256.2072840983252,263.0771414677828,300.20923478133767,262.3195283703203
19,281.61961669921874,282.86285400390625,284.56430969238284,291.0109008789062,315.56317443847655,357.0651428222656,528.0817504882813,256.74124531829773,262.2141971418663,297.6958037986461,261.9290478813642
24,294.28435974121095,296.81121520996095,300.1139190673828,307.6669982910156,325.84478149414065,378.9344848632812,386.4695770263672,257.4831161413346,267.3212537903716,310.6770572021878,266.08729987652885
