Dim,Lambda 0.1,Lambda 0.3,Lambda 0.5,Lambda 0.7,Lambda 0.9,Spline-ETO,Spline-QFR,BCMO,ERM,LightGBM,ERM-NN
4,252.0352569580078,178.9290985107422,167.42552947998047,164.42133331298828,162.76839599609374,162.36056060791014,171.95892028808595,154.78524340970455,1278.9513118448608,1025.3341266688735,1274.6218255822287
9,390.4335968017578,204.6373748779297,172.75161437988282,166.73016510009765,164.8859115600586,164.62363891601564,171.4515182495117,154.32689316752362,1268.7985501549183,1001.9494251488198,1263.1716451587522
14,347.05344848632814,246.0261672973633,174.44810180664064,167.42274475097656,166.02525024414064,165.22472381591797,172.87921447753905,155.28311366383573,1259.7172991785133,1027.7467503437094,1280.6885557600522
19,467.31044006347656,194.3198028564453,170.8911163330078,167.77839202880858,165.46563720703125,165.2208679199219,174.60821838378905,154.53861880283972,1247.755661126616,1001.3358391393219,1280.255592100994
24,219.05003356933594,180.99779205322267,170.4434783935547,168.99282836914062,167.7998840332031,167.14230041503907,174.02424011230468,156.12100598385652,1243.2312407955844,999.4243806340207,1270.9881152083474
