dataset,dim,random_state,method,metric1,metric2,configured_epochs,epochs_ran,batch_size,steps_ran,optimizer,initial_checkpoint_sha256
van_havre,19,36,gendfl_spline,371.1170349121094,153.5117950439453,50,50,64,9050,projected_sgd,344353085eac7599368c8293b9d7b13c9b161e2328eea7c4c8f4372fd91d881f
van_havre,19,32,gendfl_spline,333.55517578125,161.51132202148438,50,50,64,9050,projected_sgd,0e8e7ba1b996a83247ff72e097e04945b4323c5a483812f55a660af0e25531b8
van_havre,19,29,gendfl_spline,359.4861755371094,158.06790161132812,50,50,64,9050,projected_sgd,439de3d690b01dbb6f7a8469b4b9b8672c57793ee92d3786cd52bd508352ce25
van_havre,19,18,gendfl_spline,359.2117919921875,155.3712615966797,50,50,64,9050,projected_sgd,4a91b525a05403bd2ba4d60081a6b7d241a91ee42b190c869365c0435cb30eac
van_havre,19,14,gendfl_spline,388.43505859375,170.84449768066406,50,50,64,9050,projected_sgd,8b60cc7cd2d0502657b6d4a688ac57f4e62662c311c90c8b07a99216e8412a45
van_havre,19,87,gendfl_spline,344.9438171386719,164.30657958984375,50,50,64,9050,projected_sgd,2d8482644992adbc5177e00461037ae5db4729538c8910256bd5a2d680a792dc
van_havre,24,82,gendfl_spline,410.9181518554687,191.8894805908203,50,50,64,9050,projected_sgd,f65e2e3fee45552dfb040927016ac1bc1e174b76c30dedf9d31858b6be12e52a
van_havre,24,15,gendfl_spline,440.07080078125,166.1602020263672,50,50,64,9050,projected_sgd,5a78676afe9eb620446c1fe56d9a29cfcfcf328a303b8ba592aa354981a60fa2
van_havre,24,4,gendfl_spline,295.0353088378906,152.60198974609375,50,50,64,9050,projected_sgd,24f8fdf6639f15d45bc8b33c914ce3cae4852577ec012af04d0679354cfd478e
van_havre,24,95,gendfl_spline,350.6798400878906,190.53488159179688,50,50,64,9050,projected_sgd,034a99a1b5b26fc7df9732d0902f029688a018e153bc371c25ec215c4322a6d6
van_havre,24,36,gendfl_spline,416.9625854492187,154.02560424804688,50,50,64,9050,projected_sgd,38edd7c92e557218e0e5da00079ebae40f281643899ce6f87ea9cc759703b5d7
van_havre,24,32,gendfl_spline,362.00152587890625,163.88223266601562,50,50,64,9050,projected_sgd,7ddc4c2625d48f6738f51037be51831c37c04e58a0aa4965b9790c3ecd0145bb
van_havre,24,29,gendfl_spline,407.945556640625,158.34317016601562,50,50,64,9050,projected_sgd,ebc5b3dcf6b371418d919278962342ffc5663f5fc9ed357ebc15e858e930a4bf
van_havre,24,18,gendfl_spline,296.3145751953125,154.02334594726562,50,50,64,9050,projected_sgd,0e2f7db9d430b70dafb98508e2df300aff9a26a16a7056561d22b8ab74998288
van_havre,24,14,gendfl_spline,389.7554931640625,168.36952209472656,50,50,64,9050,projected_sgd,2c92acfd77cf80bff02e46f06aa0e2ca1ff366c0ffab8f9b69d5edf783a95097
van_havre,24,87,gendfl_spline,419.6610107421875,171.5925750732422,50,50,64,9050,projected_sgd,e4453e527e95ae1c147f9b7a80fde3dc501e467112c48e3eac40895c6108e4ee
