dataset,dim,random_state,m,method,metric1,metric2,replications,samples_per_replication,final_samples_per_replication,fidelity_weight,smoothing_mu,configured_epochs,epochs_ran,batch_size,steps_ran,optimizer,initial_checkpoint_sha256,ipa_gradient_variance_trace,ipa_gradient_variance_mean_per_parameter,ipa_gradient_std_norm,ipa_gradient_mean_norm,ipa_gradient_relative_variance,ipa_gradient_loss_mean,ipa_gradient_loss_variance,gradient_variance_repeats,gradient_variance_batch_size,gradient_variance_replications,gradient_variance_samples_per_replication,gradient_variance_seed,gradient_parameter_count,weighted_ipa_gradient_variance_trace,ipa_gradient_weight
van_havre,4,95,512,rseto_ipa_m512,316.0329284667969,186.99525451660156,16.0,512.0,521.0,0.5,0.05,50,50,64,9050,projected_sgd,78f76e4659e1c3d2d2885f41d0eb97094976fe4750ea51fcd8d42dd97f6e5104,,,,,,,,,,,,,,,
van_havre,4,95,2048,rseto_ipa_m2048,314.9314880371094,187.66131591796875,16.0,2048.0,2057.0,0.5,0.05,50,50,64,9050,projected_sgd,78f76e4659e1c3d2d2885f41d0eb97094976fe4750ea51fcd8d42dd97f6e5104,,,,,,,,,,,,,,,
van_havre,4,36,8,rseto_ipa_m8,283.8779602050781,220.2997131347656,16.0,8.0,17.0,0.5,0.05,50,50,64,9050,projected_sgd,c15030643543841d4a8db666e6c0621334405f908e70f2724ae9e5a9765cc01d,,,,,,,,,,,,,,,
van_havre,4,36,32,rseto_ipa_m32,283.6925354003906,181.15667724609375,16.0,32.0,41.0,0.5,0.05,50,50,64,9050,projected_sgd,c15030643543841d4a8db666e6c0621334405f908e70f2724ae9e5a9765cc01d,,,,,,,,,,,,,,,
van_havre,4,36,128,rseto_ipa_m128,284.4351501464844,156.03811645507812,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,c15030643543841d4a8db666e6c0621334405f908e70f2724ae9e5a9765cc01d,,,,,,,,,,,,,,,
van_havre,4,36,512,rseto_ipa_m512,283.8077697753906,153.06634521484375,16.0,512.0,521.0,0.5,0.05,50,50,64,9050,projected_sgd,c15030643543841d4a8db666e6c0621334405f908e70f2724ae9e5a9765cc01d,,,,,,,,,,,,,,,
van_havre,4,36,2048,rseto_ipa_m2048,283.69744873046875,157.09808349609375,16.0,2048.0,2057.0,0.5,0.05,50,50,64,9050,projected_sgd,c15030643543841d4a8db666e6c0621334405f908e70f2724ae9e5a9765cc01d,,,,,,,,,,,,,,,
van_havre,4,32,8,rseto_ipa_m8,277.3045959472656,231.31703186035156,16.0,8.0,17.0,0.5,0.05,50,50,64,9050,projected_sgd,d5901b2c3c3d992b5c347bd1114d8242fffb989fc7e0d1798453a3132763db63,,,,,,,,,,,,,,,
van_havre,4,32,32,rseto_ipa_m32,277.35955810546875,180.5554351806641,16.0,32.0,41.0,0.5,0.05,50,50,64,9050,projected_sgd,d5901b2c3c3d992b5c347bd1114d8242fffb989fc7e0d1798453a3132763db63,,,,,,,,,,,,,,,
van_havre,4,32,128,rseto_ipa_m128,278.1894836425781,166.82810974121094,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,d5901b2c3c3d992b5c347bd1114d8242fffb989fc7e0d1798453a3132763db63,,,,,,,,,,,,,,,
