sweep,dim,parameter,metric1_mean,metric1_std,metric1_count,metric2_mean,metric2_std,metric2_count
lambda,4,0.1,286.87754211425784,16.57138913192778,10,252.0352569580078,44.2099542383588,10
lambda,4,0.3,289.4993865966797,17.98751208135791,10,178.9290985107422,13.2516829578597,10
lambda,4,0.5,293.6270294189453,20.881314181139647,10,167.42552947998047,12.55440761219134,10
lambda,4,0.7,302.35162658691405,28.247662707630028,10,164.42133331298828,13.023198201946466,10
lambda,4,0.9,324.4781799316406,40.347998341945456,10,162.76839599609374,13.575991197133597,10
lambda,9,0.1,282.9076202392578,13.100512803390108,10,390.4335968017578,309.4836764713148,10
lambda,9,0.3,284.6194091796875,12.910188223401185,10,204.6373748779297,51.532566819014995,10
lambda,9,0.5,288.40900268554685,15.100862777246657,10,172.75161437988282,13.681749584462004,10
lambda,9,0.7,295.4376556396484,20.05418041808865,10,166.73016510009765,13.23084285008449,10
lambda,9,0.9,316.7102081298828,28.22598749866029,10,164.8859115600586,13.20373417652834,10
lambda,14,0.1,288.9594299316406,11.021300143524444,10,347.05344848632814,274.2401077047639,10
lambda,14,0.3,290.5362182617188,11.263107683087629,10,246.0261672973633,216.03803816230905,10
lambda,14,0.5,294.1130706787109,14.21748724929793,10,174.44810180664064,14.793480333762185,10
lambda,14,0.7,305.40410766601565,23.387706092452966,10,167.42274475097656,10.04067774665628,10
lambda,14,0.9,331.1511596679687,36.40438757939013,10,166.02525024414064,10.356527972264443,10
lambda,19,0.1,281.61961669921874,11.052678418448977,10,467.31044006347656,308.90219360191884,10
lambda,19,0.3,282.86285400390625,10.606702878376721,10,194.3198028564453,22.521789101618758,10
lambda,19,0.5,284.56430969238284,10.792134567310939,10,170.8911163330078,12.582188802353743,10
lambda,19,0.7,291.0109008789062,15.673623804804025,10,167.77839202880858,13.743677907261844,10
lambda,19,0.9,315.56317443847655,22.196902147066837,10,165.46563720703125,12.53757848824326,10
lambda,24,0.1,294.28435974121095,10.600351574460637,10,219.05003356933594,38.944260535770255,10
lambda,24,0.3,296.81121520996095,11.90731027512534,10,180.99779205322267,14.543514069112495,10
lambda,24,0.5,300.1139190673828,13.71913833368788,10,170.4434783935547,13.48365476514714,10
lambda,24,0.7,307.6669982910156,19.91342657362433,10,168.99282836914062,13.754997480282597,10
lambda,24,0.9,325.84478149414065,32.88790414205412,10,167.7998840332031,14.134864838736412,10
m,4,8.0,288.9879455566406,17.37652781557732,10,362.1956100463867,349.38347554995806,10
m,4,32.0,290.6438385009766,18.54198935920887,10,209.82494659423827,105.72530575801186,10
m,4,128.0,293.6270294189453,20.881314181139647,10,167.42552947998047,12.55440761219134,10
m,4,512.0,294.394677734375,22.037086488949534,10,167.16759643554687,13.343546318234672,10
m,4,2048.0,294.36781616210936,21.99385041399493,10,167.18688049316407,12.869769644523009,10
m,9,8.0,286.47129821777344,14.942791067829393,10,253.49237060546875,72.16480864359471,10
m,9,32.0,288.1770538330078,15.055872943542417,10,183.95848541259767,14.336161459469684,10
m,9,128.0,288.40900268554685,15.100862777246657,10,172.75161437988282,13.681749584462004,10
m,9,512.0,289.7538696289063,15.844499919035197,10,168.82484741210936,13.877647262235834,10
m,9,2048.0,289.5934204101562,15.737133935852944,10,171.59310302734374,20.615534857229534,10
m,14,8.0,297.38672790527346,17.80181973483375,10,226.37061920166016,12.51352044548026,10
m,14,32.0,295.88930053710936,17.00853955065523,10,185.9705780029297,13.829289438941707,10
m,14,128.0,294.1130706787109,14.21748724929793,10,174.44810180664064,14.793480333762185,10
m,14,512.0,296.27637634277346,15.629185381000182,10,177.40430755615233,29.34710462415676,10
m,14,2048.0,296.3164367675781,16.220239988303124,10,211.3061080932617,136.1214606085979,10
m,19,8.0,284.3730865478516,12.976840007112555,10,235.97941131591796,24.327608423398875,10
m,19,32.0,285.4568725585938,12.58737130597662,10,194.38568115234375,17.84413531618701,10
m,19,128.0,284.56430969238284,10.792134567310939,10,170.8911163330078,12.582188802353743,10
m,19,512.0,284.9062133789063,10.79452709714991,10,169.4700485229492,12.362567073600747,10
m,19,2048.0,286.40908203125,12.45562279624111,10,169.3953414916992,12.737103027007315,10
m,24,8.0,296.9433990478516,15.020797240735169,10,245.03724365234376,29.272758563572353,10
m,24,32.0,298.1845642089844,14.900930462552775,10,203.2493103027344,52.149759762678684,10
m,24,128.0,300.1139190673828,13.71913833368788,10,170.4434783935547,13.48365476514714,10
m,24,512.0,300.1338592529297,13.835742190651208,10,169.98802337646484,13.491946166623748,10
m,24,2048.0,300.1252868652344,13.740700604645081,10,169.89500885009767,13.504355376254127,10
simulation_num,4,1.0,293.2978820800781,20.61638179398138,10,167.0975784301758,13.239435279223184,10
simulation_num,4,4.0,294.36756286621096,21.720263979421777,10,167.29635162353514,12.985913988998204,10
simulation_num,4,16.0,293.6270294189453,20.881314181139647,10,167.42552947998047,12.55440761219134,10
simulation_num,4,64.0,294.13560791015624,21.427836455399277,10,167.63299713134765,13.011999722028062,10
simulation_num,4,256.0,294.1756072998047,21.483404334706645,10,167.56494750976563,13.035397877220987,10
simulation_num,9,1.0,288.7245391845703,14.983937462219577,10,170.53306427001954,14.903010378880166,10
simulation_num,9,4.0,288.58689270019534,15.21703308809043,10,173.2467300415039,14.079991639147305,10
simulation_num,9,16.0,288.40900268554685,15.100862777246657,10,172.75161437988282,13.681749584462004,10
simulation_num,9,64.0,288.65765075683595,15.220208231849021,10,171.81433563232423,13.120573864209238,10
simulation_num,9,256.0,288.1679992675781,14.886954927653553,10,172.98914489746093,13.821650850596498,10
simulation_num,14,1.0,293.63921508789065,12.851201358807877,10,171.0266845703125,9.655149078336178,10
simulation_num,14,4.0,294.6944305419922,14.986022554539005,10,172.07286376953124,10.425319782611973,10
simulation_num,14,16.0,294.1130706787109,14.21748724929793,10,174.44810180664064,14.793480333762185,10
simulation_num,14,64.0,294.3222351074219,14.205401495194396,10,171.81739654541016,10.336434952572997,10
simulation_num,14,256.0,294.1411071777344,14.018351288657483,10,171.41313629150392,10.735477207098134,10
simulation_num,19,1.0,284.71104431152344,10.760841262922902,10,173.22746887207032,16.95273757623823,10
simulation_num,19,4.0,284.64178161621095,10.762206293570017,10,170.6228790283203,12.624618264955284,10
simulation_num,19,16.0,284.56430969238284,10.792134567310939,10,170.8911163330078,12.582188802353743,10
simulation_num,19,64.0,284.7388885498047,10.734303589874099,10,171.32115020751954,12.349368371935492,10
simulation_num,19,256.0,284.75469360351565,10.797345646963358,10,171.83971557617187,12.611981531521856,10
simulation_num,24,1.0,300.2358917236328,13.7825188264508,10,170.73071746826173,13.56118495248722,10
simulation_num,24,4.0,300.00086364746096,13.621946129509103,10,170.82321319580078,13.64404829297541,10
simulation_num,24,16.0,300.1139190673828,13.71913833368788,10,170.4434783935547,13.48365476514714,10
simulation_num,24,64.0,300.0987609863281,13.727872994984567,10,170.56053009033204,13.561020635686774,10
simulation_num,24,256.0,300.39976806640624,14.112432990705473,10,171.00037841796876,13.492358698658338,10
