Dim,M 8,M 32,M 128,M 512,M 2048,Spline-ETO,Spline-QFR,BCMO,ERM,LightGBM,ERM-NN
4,288.9879455566406,290.6438385009766,293.6270294189453,294.394677734375,294.36781616210936,364.9671112060547,354.9242004394531,256.2555346644293,257.2146530485072,292.42914050114086,262.283772995806
9,286.47129821777344,288.1770538330078,288.40900268554685,289.7538696289063,289.5934204101562,346.9571868896484,373.58643798828126,257.29864888482695,260.59190217974316,292.35440552159326,263.81759682200675
14,297.38672790527346,295.88930053710936,294.1130706787109,296.27637634277346,296.3164367675781,367.593115234375,364.2226257324219,256.2072840983252,263.0771414677828,300.20923478133767,262.3195283703203
19,284.3730865478516,285.4568725585938,284.56430969238284,284.9062133789063,286.40908203125,357.0651428222656,528.0817504882813,256.74124531829773,262.2141971418663,297.6958037986461,261.9290478813642
24,296.9433990478516,298.1845642089844,300.1139190673828,300.1338592529297,300.1252868652344,378.9344848632812,386.4695770263672,257.4831161413346,267.3212537903716,310.6770572021878,266.08729987652885
