Dim,M 8,M 32,M 128,M 512,M 2048,Spline-ETO,Spline-QFR,BCMO,ERM,LightGBM,ERM-NN
4,362.1956100463867,209.82494659423827,167.42552947998047,167.16759643554687,167.18688049316407,162.36056060791014,171.95892028808595,154.78524340970455,1278.9513118448608,1025.3341266688735,1274.6218255822287
9,253.49237060546875,183.95848541259767,172.75161437988282,168.82484741210936,171.59310302734374,164.62363891601564,171.4515182495117,154.32689316752362,1268.7985501549183,1001.9494251488198,1263.1716451587522
14,226.37061920166016,185.9705780029297,174.44810180664064,177.40430755615233,211.3061080932617,165.22472381591797,172.87921447753905,155.28311366383573,1259.7172991785133,1027.7467503437094,1280.6885557600522
19,235.97941131591796,194.38568115234375,170.8911163330078,169.4700485229492,169.3953414916992,165.2208679199219,174.60821838378905,154.53861880283972,1247.755661126616,1001.3358391393219,1280.255592100994
24,245.03724365234376,203.2493103027344,170.4434783935547,169.98802337646484,169.89500885009767,167.14230041503907,174.02424011230468,156.12100598385652,1243.2312407955844,999.4243806340207,1270.9881152083474
