data_synthetic,dim,random_state,model,metric1,metric2,configured_epochs,epochs_ran,steps_ran,optimizer,data_protocol,error
van-havre,9,15,end_to_end,255.05922310770436,1514.5295617056358,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,15,erm,254.15929754026948,1523.7501522141574,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,15,lightgbm,258.5150581405278,1219.8405896777194,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,15,oracle_gmm,255.1478031039423,149.8213731193931,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,4,end_to_end,268.77924256747247,1333.8723475948,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,4,erm,267.67576817395025,1344.607531304718,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,4,lightgbm,333.05126407451326,921.2631397094794,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,4,oracle_gmm,257.4938364172987,141.4799559788517,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,95,end_to_end,257.3591330119735,1204.5861699331842,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,95,erm,258.743930521559,1208.4922493435745,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,95,lightgbm,283.17285675982777,978.9392387861036,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,95,oracle_gmm,254.59396463667443,174.8534814076531,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,36,end_to_end,273.4003485444364,1191.8959510188745,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,36,erm,263.98548192248404,1208.4859555718087,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,36,lightgbm,293.6349524841074,897.1333918471888,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,36,oracle_gmm,259.3380328735099,142.2786193671164,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,32,end_to_end,259.5621318015195,1218.3602724071095,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,32,erm,252.91545044970184,1203.8713767199313,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,32,lightgbm,274.647808008899,970.7612149444562,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,32,oracle_gmm,252.64578992453644,150.4385588803735,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,29,end_to_end,270.2651191028968,1238.398993191723,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,29,erm,263.4984618716611,1255.818192844684,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,29,lightgbm,300.18329663422935,1012.5439173640584,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,29,oracle_gmm,260.21123625802267,146.99315783984727,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,18,end_to_end,262.98409747253845,1254.550122946388,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,18,erm,263.45411381912055,1242.1447104380152,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,18,lightgbm,297.09912845621255,1031.9015726785003,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,18,oracle_gmm,259.52996425941916,144.4326142853257,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,14,end_to_end,265.49488747112497,1246.966038544036,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
