Dim,R 1,R 4,R 16,R 64,R 256,Spline-ETO,Spline-QFR,BCMO,ERM,LightGBM,ERM-NN
4,293.2978820800781,294.36756286621096,293.6270294189453,294.13560791015624,294.1756072998047,364.9671112060547,354.9242004394531,256.2555346644293,257.2146530485072,292.42914050114086,262.283772995806
9,288.7245391845703,288.58689270019534,288.40900268554685,288.65765075683595,288.1679992675781,346.9571868896484,373.58643798828126,257.29864888482695,260.59190217974316,292.35440552159326,263.81759682200675
14,293.63921508789065,294.6944305419922,294.1130706787109,294.3222351074219,294.1411071777344,367.593115234375,364.2226257324219,256.2072840983252,263.0771414677828,300.20923478133767,262.3195283703203
19,284.71104431152344,284.64178161621095,284.56430969238284,284.7388885498047,284.75469360351565,357.0651428222656,528.0817504882813,256.74124531829773,262.2141971418663,297.6958037986461,261.9290478813642
24,300.2358917236328,300.00086364746096,300.1139190673828,300.0987609863281,300.39976806640624,378.9344848632812,386.4695770263672,257.4831161413346,267.3212537903716,310.6770572021878,266.08729987652885
